ID|Title|Principal Investigator|Abstract|Justification|Target Object|Start Date|End Date|Status
146|Alert Notice 146: Special multiwavelength monitoring of 0201+14 TT Arietis|Janet A. Mattei|The interesting cataclysmic variable 0201+14 TT Arietis will be the observing target of multiwavelength monitoring starting 8:00 UT August 1 and continuing for 24 hours|It is essential for everyone monitoring this star to record the exact timing of their observations. Visual observers should report the time to the minute (4 decimal places of the JD). Photometric observers should report the time to the second (5 decimal places of the JD). Therefore, particularly those doing photometry should have an accurate clock for timing their observations. Accurate timing is essential because in the flaring activities of this star, an optical and x-ray time lag of about 60 seconds has been detected in cross correlation, and it is this aspect of TT Ari that is of particular interest during the multiwavelength monitoring campaign.|0201+14 TT Arietis; 1247-28 EX HYDRAE|1991-08-01|1991-08-02|Archived
148|Alert Notice 148: Nova Scuti 1991 AND Request to monitor dwarf novae for IUE observing runs|Janet A. Mattei|Request for assistance in monitoring dwarf novae for the upcoming IUE observing run on dwarf novae in outburst.|To update the astronomers before and during their observing run.|Nova Sct 1991; dwarf novae|1991-09-03|1991-09-16|Archived
149|Alert Notice 149: Outburst of 1825-29 V1017 Sagittarii AND 1834-23 V348 Sagittarii AND Fading of 1808-29 VZ Sagittarii AND Acknowledgements and reminders|Janet A. Mattei|John Bortle has alerted us to the brightening of VI017 Sgr, a symbiotic star. There have been observations of the brightening of this star and accompanying variations. Observations and tracking of V348 Sgr are requested as it is brightening. VZ Sagittarii, an R Coronae Borealis star, has started to fade.|N/A|1825-29 V1017 Sagittarii; 1834-23 V348 Sagittarii; 1808-29 VZ Sagittarii|1991-10-01|1991-10-02|Archived
150|Alert Notice 150: Rare outburst of 2137+48 V1251 Cygni AND Large amplitude HIPPARCOS stars in need of more observations AND Updates on the activities of stars reported in Alert Notice 149|Janet A. Mattei|This Alert Notice involves the rare outburst of 2137+48 V1251 Cygni and requests observations for HIPPARCOS stars and certain stars from Alert Notice 149|Closely monitoring these astronomical events and stars can provide vital data for continued scientific study|V1251 Cyg; HIPPARCOS stars; stars from Alert Notice 149|1991-10-31|1991-11-01|Archived
151|Alert Notice 151: Superoutburst of 0203+56A UV Persei AND Superoutburst of 0803+62 SU Ursae Majoris AND Supernova in NGC 4374 [SN 1991bg]|Elizabeth O. Waagen|The cataclysmic variable 0203 + 56A UV Persei is undergoing a superoutburst, as indicated by the following observations from AAVSO observers. This cataclysmic variable is also undergoing a superoutburst. Recent observations include. We have been informed by the Central Bureau for Astronomical Telegrams ( _IAU Circular 5400_ ) of the report by H. Kosai, National Astronomical Observatory of Japan, of the visual discovery of a supernova in NGC 4374 (M84) by Reiki Kushida, YatSugatake South Base Observatory, Japan, on December 9.844 UT. The supernova discovery was reported to the Bureau on December 12.|N/A|0203 + 56A UV Persei; 0803+62 SU Ursae Majoris; NGC 4374 [SN 1991bg]|1991-12-24|1991-12-25|Archived
153|Alert Notice 153: Supernova in NGC 1380 AND Nova Pup 1991 [V351 Pup]|Elizabeth O. Waagen|The Central Bureau for Astronomical Telegrams has informed us of the photographic discovery of a supernova in NGC 1380 by William Liller, Vina del Mar, Chile, on 1992 January 11.16 UT at magnitude 12.8. The supernova was independently discovered visually on January 12.7 by N. Brown, Perth, W. Australia, at magnitude 13.0.|N/A|NGC 1380; V351 Pup|1992-01-14|1992-01-15|Archived
154|Alert Notice 154: Possible Nova in Sagittarius [V4157 Sgr] AND New Request to monitor high-glalactic latitude cataclysmic variables for IUE observing runs|N/A|William Liller reports his discovery of a possible nova in Sagittarius, independently discovered also by Paul Camilleri. In addition, there is a new request to monitor high-galactic latitude cataclysmic variables in outburst for ongoing IUE observations.|The monitoring of these stars and the reporting of any activity is critical to the success of these observing runs.|V4157 Sgr; HT Cas; AR And; UV Per; HW Tau; FQ Sco; MM Sco; FV Ara; V551 Sgr; V344 Lyr; AY Lyr; V1141 Aql; UU Aql; WZ Sge; EF Peg; DX And; AH Eri; RZ Leo; BC UMa; AL Com; UZ Boo; TT Boo; VY Aqr; VZ Aqr|1992-02-14|1992-02-15|Archived
155|Alert Notice 155: Nova Cygni 1992 [V1974 Cyg] AND Nova Sagittarii 1992 [V4157 Sgr] AND Supernova 1992G in NGC 3294 AND Predicted eclipse of the very long period eclipsing binary 2205+55 EE Cephei|N/A|Peter Collins, Boulder, CO, reports his visual discovery of a nova in Cygnus on 1992 February 19.07 UT at magnitude 6.8.|N/A|Nova Cygni 1992 [V1974 Cyg]; Nova Sagittarii 1992 [V4157 Sgr]; Supernova 1992G in NGC 3294; 2205+55 EE Cephei|1992-02-20|1992-02-21|Archived
156|Alert Notice 156: 2027+52 Nova Cygni 1992 AND 0807-34 Nova Puppis 1991 AND Updates on Rare Dwarf Novae Outbursts AND Participation in Monitoring Cataclysmic Variables for EUVE Survey|Janet A. Mattei|This alert notice includes updates on the 2027+52 Nova Cygni 1992 and 0807-34 Nova Puppis 1991 as well as updates on the rare Dwarf Novae outbursts and calls for participation in monitoring cataclysmic variables for the EUVE survey. The notice calls for observation of these stellar events for research purposes and updates.|N/A|2027+52 Nova Cygni 1992; 0807-34 Nova Puppis 1991; 0829+53 SW Ursae Majoris; 1950+32A EY Cygni|1992-04-16|1992-04-17|Archived
158|Alert Notice 158: Supernova in NGC 4411B AND Successful launch of NASA's Extreme Ultraviolet Explorer and detection of first light|Janet A. Mattei|A supernova has been visually discovered in NGC 4411B on July 1, and later confirmed, by Robert O. Evans and Thomas Cragg respectively, while NASA's Extreme Ultraviolet Explorer (EUVE) has been successfully launched and its first EUV sky images obtained.|N/A|NGC 4411B|1992-07-02|1992-07-03|Archived
159|Alert Notice 159: Minor Outburst of 0324+43 GK Persei (Nova Per 1901) AND 1221+09 Supernova in NGC 4411B|Janet A. Mattei|This old nova of 1901 is having another minor outburst, as indicated by following observations. A group of theoretical astronomers from the University of Texas are particularly interested in GK Per, and have requested observers to keep a very close eye on this outburst.|N/A|0324+43 GK Persei; 1221+09 Supernova in NGC 4411B|1992-07-07|1992-07-08|Archived
160|Alert Notice 160: 1817-18 Nova Sagittarii 1992 No. 2 [V4169 Sgr] AND Supernova in NGC 4411B|Janet A. Mattei|The notice informs of the photographic discovery of a nova in Sagittarius [V4169 Sgr] and a pre-discovery photograph of the supernova in NGC 4411B. The discovery was made by William (Bill) Liller, Vina del Mar, Chile.|N/A|Nova Sagittarii 1992 No. 2 (V4169 Sgr); Supernova in NGC 4411B|1992-07-10|1992-07-11|Archived
162|Alert Notice 162: Multiwavelength observations of Nova Cygni 1992 [V1974 Cyg] AND Variable star observations for EUVE AND Reminders|Janet A. Mattei|Multiwavelength observations of Nova Cygni 1992 will be carried out for three hours, starting at 3:20 UT on September 8, using the Hubble Space Telescope, International Ultraviolet Explorer, and ground-based instruments. Variable star observations for the EUVE mission will also be conducted.|The observations are to monitor the large-amplitude variable stars on the HIPPARCOS observing list, as well as SS Cyg, VW Hyi, U Gem, YY Dra, IP Peg, TT Crt, and T Pyx.|Nova Cygni 1992;SS Cyg;VW Hyi;U Gem;YY Dra;IP Peg;TT Crt;T Pyx|1992-08-27|1992-08-28|Archived
163|Alert Notice 163: Supernova in NGC 2082 AND Fading of 2007+20 FG Sagittae|Janet A. Mattei|The Central Bureau for Astronomical Telegrams ( _IAU Circular 5625_ ) has informed us of the visual discovery by Robert Evans, Hazelbrook, Australia, of a supernova in NGC 2082 on Sep. 30.75 UT at approximately magnitude 14.0. A spectrum obtained implies the supernova to be of Type-II and very likely discovered at an early epoch. FG Sagittae, the central star of a planetary nebula, has also been fading since late August from its average maximum magnitude of 9.2, and has reached magnitude 13.4.|N/A|NGC 2082; FG Sagittae|1992-10-02|1992-10-03|Archived
161|Alert Notice 161: Announcement of 800 telephone line for AAVSO HQ AND Requests for data support for satellite observations of variable stars|Janet A. Mattei|An announcement on the introduction of an 800-number telephone line for AAVSO Headquarters in USA and a request for monitoring of particular variable stars for NASA's Extreme Ultraviolet Explorer (EUVE) mission.|To facilitate reporting of variable star observations, particularly for NASA's EUVE mission, and to request aid in monitoring certain variable stars for correlating multiwavelength observations with satellite data.|0058+40 RX And; 2138+43 SS Cyg; 0409-71 VW Hyi|1992-07-31|1992-10-13|Archived
164|Alert Notice 164: 1817-23 Nova Sagittarii 1992 No. 3 [V4171 Sgr]|N/A|This alert is about the photographic discovery of a nova by Paul Camilleri, Cobram, Victoria, Australia, on October 13.40 UT at photovisual magnitude 9.0. Robert McNaught, Anglo-Australian Observatory, confirmed the presence of the nova and gives the following precise position (1950): R.A. = 18h 20m 39.43s Dec. = -23o 01' 05.5" The object is very close to SAO 186756 (R.A. 18h 20m 33s Dec. -23o 04' 21").|N/A|1817-23 Nova Sagittarii 1992 No. 3; V4171 Sgr|1992-10-15|1992-10-16|Archived
165|Alert Notice 165: Rare outburst of 0846+58 BZ Ursae Majoris|N/A|The dwarf nova BZ UMa is having a bright outburst - probably a superoutburst - as shown by David York's observation on October 26.25 UT at magnitude 10.5. It would be valuable to see if superhumps can be observed visually if this outburst is indeed a superoutburst. Visually-prepared AAVSO preliminary 'd' and 'e' scale charts for BZ UMa will accompany further data collection.|The last confirmed outburst of BZ UMa in the AAVSO data files was in April 1991 and if this outburst is indeed a superoutburst, it will be valuable to see if superhumps can be observed visually.|0846+58 BZ Ursae Majoris|1992-10-26|1992-10-27|Archived
166|Alert Notice 166: Nova in the Large Magellanic Cloud 1992 [N LMC 1992]|William Liller|William Liller, Vina del Mar, Chile, reports his photographic discovery, using PROBLICOM, of a nova in the Large Magellanic Cloud on November 11.21 UT at photovisual magnitude 10.7 (with Tech Pan film and a red filter). He confirmed its presence on four other photographs.|N/A|N LMC 1992|1992-11-13|1992-11-14|Archived
157|Alert Notice 157: 1700-43 Probable Nova in Scorpius AND 2027+52 Nova Cygni|Janet A. Mattei|The photographic discovery of a probable nova in Scorpius by Paul Camilleri, Cobram, Vic, Australia, on May 22.492 UT at photovisual magnitude 8.2. This discovery is informed by The Central Bureau for Astronomical Telegrams. Astronomers are also scheduled to observe the cataclysmic variables with the Hubble Space Telescope (HST) and the International UIltraviolet Explorer (IUE) and are in need of assistance in closely monitoring these stars.|To monitor and understand the behavior of the stars and observe them at the appropriate times. This observation will contribute to the satellite research and understanding of cataclysmic variables.|1700-43 Probable Nova in Scorpius; 2027+52 Nova Cygni; 0749+22 U Gem; 0409-71 VW Hyi; 2318+17 IP Peg; 1137+72 YY Dra; 1129-11 TT Crt; 0900-31 T Pyx|1992-05-28|1993-01-31|Archived
167|Alert Notice 167: The symbiotic star 1810-00 FG Serpentis (AS 296) AND Forthcoming outburst of 0749+22 U Geminorum|N/A|FG Serpentis = AS 296 is a symbiotic system consisting of a hot compact primary and a late type giant secondary. It varies between magnitudes 12 and 9.8 (V). ... U Gem has its next outburst, predicted for the coming weeks. Its last outburst was in late August and early September 1992, when the star reached magnitude 9.3 at maximum, and stayed brighter than magnitude 11 for 12 days.|We have been requested to monitor this interesting system closely in the coming months both for the forthcoming predicted eclipse and also a possible pre-eclipse dip in the light curve, which had been observed before. ... Please monitor this dwarf nova and call in your observations to Headquarters if you observe it at 13.5 magnitude or brighter.|1810-00 FG Serpentis (AS 296); 0749+22 U Geminorum|1993-02-01|1993-02-02|Archived
168|Alert Notice 168: Superoutburst of 0829+53 SW Ursae Majoris AND Superoutburst of 1215-17 - Crv (Tombaugh's nova-dwarf nova) AND Outburst of 0830+21 CC Cancri|N/A|The SU UMa type dwarf nova 0829+53 SW UMa is undergoing a superoutburst, as indicated by the following observations. The cataclysmic variable 1215-17 - Crv is undergoing an outburst, as reported by Dr. Steve Howell, who is observing in Hawaii. The dwarf nova 0830 + 21 CC Cnc is undergoing an outburst.|N/A|0829+53 SW Ursae Majoris; 1215-17 - Crv; 0830+21 CC Cancri|1993-02-18|1993-02-19|Archived
169|Alert Notice 169: Supernova in NGC 3031 (M81) AND Outburst of 0749+22 U Geminorum AND Fading of 0543+19 SU Tauri AND Request to monitor 1834-23 V348 Sagittarii|N/A|The AAVSO report includes a request for observation reports on multiple astral events: a supernova in NGC 3031 (M81), an outburst of U Geminorum, the fading of SU Tauri, and a request to monitor V348 Sagittarii. NGC 3031 (M81) has been discovered by a Supernova Search Group and is expected to reach 8th magnitude in the next two weeks. Observations on U Geminorum's recent outburst, reaching maximum magnitude 9.0, are reported. SU Tauri has been seen to slowly fade from its maximum mean magnitude 9.5 to 11.5. The request to observe V348 Sagittarii is extended to assist a group of astronomers planning to observe it with the IUE.|Various astronomical events have taken place, including a supernova, cataclysmic star outburst, star fading, and a need for monitoring a celestial object, prompting AAVSO to request observatory feedback for further research and community notification.|NGC 3031 (M81); 0749+22 U Geminorum; 0543+19 SU Tauri; 1834-23 V348 Sagittarii|1993-03-30|1993-03-31|Archived
170|Alert Notice 170: 1721-23 Nova Ophiuchi 1993 [V2295 Oph] AND 0946+69 Supernova in NGC 3031 (M81) [SN 1993J] AND 1810-00 FG Serpentis (AS 296)|N/A|We have been informed of the photographic discovery of a nova by Paul Camilleri on April 14.54 UT at photovisual magnitude 9.5. Observations of N Oph 93 have been reported. A supernova in NGC 3031 reached magnitude 10.9 +/- 0.3 by mid-April. The star FG Ser is expected to have a forthcoming predicted eclipse.|N/A|V2295 Oph;SN 1993J;FG Ser|1993-04-22|1993-04-23|Archived
171|Alert Notice 171: 2252-36 SN 1993L in IC 5270 AND Request to monitor SS Cyg and AD Leo for ASCA mission AND VY Aqr outburst AND BZ UMa outburst AND Supernova 1993J in NGC 3031 AND Nova Oph 1993 [V2295 Oph] AND 1809-00 FG Ser (AS 296) (Desig revised)|N/A|This Alert Notice informs about various astronomical activities and requests monitoring on various stars including SS Cyg, AD Leo, Nova Oph 1993, etc.|N/A|SN 1993L; SS Cyg; AD Leo; VY Aqr; BZ UMa; SN 1993J; NOva Oph 1993; FG Ser|1993-05-05|1993-05-06|Archived
172|Alert Notice 172: 1908+01 Nova Aquilae 1993 [V1419 Aql] AND Brightening of 1556-40 EX Lupi AND Revision of request to monitor 2138+43 SS Cygni and 1014+20 AD Leo AND 1719-23 Nova Ophiuchi 1993 [V2295 Oph] AND 0947+69 SN 1993J in NGC 3031|Elizabeth O. Waagen|We have been informed through the Nova Net and by the Central Bureau for Astronomical Telegrams that Tomohiro Hirayama (National Astronomical Observatory, Tokyo) reports that Minoru Yamamoto (Doi-cho, Okazaki-shi, Japan) photographically discovered a nova in Aquila at magnitude 7.6 on T-Max 400 film with a PO0 green filter taken on May 14.644 UT.|N/A|1908+01; Nova Aquilae 1993 [V1419 Aql]; Brightening of 1556-40 EX Lupi; 2138+43 SS Cygni; 1014+20 AD Leo; 1719-23 Nova Ophiuchi 1993 [V2295 Oph]; 0947+69 SN 1993J; NGC 3031|1993-05-18|1993-05-19|Archived
173|Alert Notice 173: Request to monitor cataclysmic variables during ORFEUS mission AND 1908+01 Nova Aquilae 1993 [V1419 Aql] AND Fading of 1910-33 RY Sagittarii AND Request to monitor 1834-23 V348 Sagittarii|N/A|Astronomers at the Harvard-Smithsonian Center for Astrophysics and Lawrence Livermore National Laboratories at Livermore, California, will be observing some cataclysmic variables - dwarf novae (DN) and magnetic novalike (NL) variables during the ORFEUS Mission and have requested our assistance.|The mission's primary goal during the planned 5-day science mission is to observe stars that emit most of their light in the ultraviolet band of the electromagnetic spectrum to help understand the evolution of these stars and their interaction with the interstellar medium.|0058+40 RX And; 0409-71 VW Hyi; 0814+73 Z Cam; 1813+49 AM Her; 2138+43 SS Cyg; 2209+12 RU Peg|1993-07-17|1993-07-18|Archived
174|Alert Notice 174: Update on ORFEUS mission AND Request for continued monitoring of VW Hyi and SS Cyg AND Request to continue to monitor AM Her AND RY Sgr AND Reminder of request to monitor V348 Sgr|N/A|The ORFEUS mission will begin observations of cataclysmic variables two to three days after the launch of NASA's Space Shuttle Discovery. Primary observing targets are required to be monitored until the end of the nine-day mission or the end of July, whichever is later. Observations are crucial to the success of space research in this area. Separate requests are made for continued monitoring of SS Cyg and VW Hyi, monitoring AM Her, monitoring RY Sgr, and monitoring V348 Sgr.|Continuous observations of these stars are vital to the success of space research, particularly the ORFEUS mission, being done in this area.|0058+40 RX And; 0409-71 VW Hyi; 0814+73 Z Cam; 1813+49 AM Her; 2138+43 SS Cyg; 2209+12 RU Peg; 1910-33 RY Sgr; 1834-23 V348 Sgr|1993-07-22|1993-07-31|Archived
176|Alert Notice 176: Fourth update on ORFEUS mission AND Fading of R CrB AND Revised finder charts for Nova Aql 1993 [V1419 Aql] and FO Aql AND EUVE observations of SS Cyg during its recent outburst AND Reminders|N/A|This alert notice involves multiple events - the fourth update on NASA's ORFEUS mission, reported fading of R CrB variable star, revised finder charts for Nova Aql 1993 [V1419 Aql] and FO Aql, and EUVE observations of SS Cyg during a recent outburst. Calls are made for ongoing monitoring of several variable stars and reports on the findings.|N/A|0058+40 RX And; 0409-71 VW Hyi; 0814+73 Z Cam; 1813+49 AM Her; 2138+43 SS Cyg; 2209+12 RU Peg; 1640+25 AH Her; 1544+28A R CORONAE BOREALIS; 1908+01 NOVA AQUILAE 1993 [V1419 AQl]; 1911-00 FO AQUILAE; 2023+43 V503 Cyg|1993-09-10|1993-09-11|Archived
177|Alert Notice 177: Nova Sagittarii 1993 [V4327 Sgr] AND Outburst of 0409-71 VW Hydri|N/A|Independent photographic discoveries of a nova in Sagittarius by Matsuo Sugano, Minami-Oda, Japan, and William Liller. Also, the dwarf nova VW Hyi has started to brighten. These subjects have been scheduled to be observed with the Hubble Space Telescope.|N/A|V4327 Sgr; VW Hyi|1993-09-17|1993-09-18|Archived
178|Alert Notice 178: 1425-50 Nova Lupi 1993 AND Revised finder chart for 1806-29 Nova Sagittarii 1993 AND Successful completion of ORFEUS Mission AND Outburst of 0409-71 VW Hydri|N/A|Discussion of various events including the discovery of a nova in Lupus, a revised finder chart for Nova Sagittarii 1993, the successful completion of the ORFEUS mission, and an outburst of 0409-71 VW Hydri.|N/A|1425-50 Nova Lupi 1993; 1806-29 Nova Sagittarii 1993; ORFEUS Mission; 0409-71 VW Hydri|1993-09-23|1993-09-24|Archived
179|Alert Notice 179: 2337+56 Nova Cassiopeiae 1993 AND Brightening of 0849+20 OJ 287 Cnc AND Close monitoring requested|N/A|The photographic discovery of a nova in Cassiopeia by Kazuyoshi Kanatsu of Matsue, Shimane, Japan, and the brightening of object OJ 287 Cnc, are reported. Close monitoring of 2138+43 SS Cyg, 0749+22 U Gem, 2318+17 IP Peg, 0900-31 T Pyx, and 1834-23 V348 Sgr is requested.|Monitoring and reporting the magnitude changes in these celestial bodies will provide valuable information for various variable star research programs using both ground-based telescopes and space satellites.|V705 Cas; OJ 287 Cnc; SS Cyg; U Gem; IP Peg; T Pyx; V348 Sgr|1993-12-14|1993-12-15|Archived
175|Alert Notice 175: Further update on ORFEUS mission AND Request to monitor Perseid meteors AND Request to monitor cataclysmic variable 2023+43 V503 Cygni AND Reminders|N/A|Further update on ORFEUS mission and request to monitor Perseid meteors and cataclysmic variable 2023+43 V503 Cygni including reminders for other monitoring activities. Monitor VW Hyi and SS Cyg throughout the rest of 1993. It includes requests to inform them of outbursts, with the brightness and behavior of AM Her.|Monitoring the cataclysmic variables provides important astronomical observations for the ORFEUS mission and subsequent research. The monitoring of the objects has implications for understanding their behavior and contributing to their dataset.|RX And;VW Hyi;Z Cam;AM Her;SS Cyg;RU Peg;V348 Sgr;V503 Cyg|1993-08-04|1993-12-31|Archived
180|Alert Notice 180: 2337+56 Nova Cassiopeiae 1993 [V705 Cas] AND Special request to monitor dwarf novae|N/A|This bright nova, discovered on December 7.47 UT by Syuichi Nakano of Japan at photographic magnitude 6.5 (see _AAVSO Notice 179_ ), has been very well monitored by observers worldwide. Its optical light curve, created from observations reported to the AAVSO, indicates it brightened to about visual magnitude 5.7 by mid·Oecember, and then has slowly declined to magnitude 8.4 by February 7, with fluctuations as much as 1 magnitude in amplitude. In addition to the optical observatinos, multiwavelength monitoring has been done using satellites.|N/A|2337+56 NOVA CASSIOPEIAE 1993 [V705 Cas]; 2138+43 SS Cygni; 0409-71 VW Hyi; 1247-28 EX Hya|1994-02-08|1994-02-09|Archived
181|Alert Notice 181: 1844-21 Nova Sagittarii 1994 [V4332 Sgr] AND Rapid fading of 2337+56 Nova Cassiopeiae 1993 [V705 Cas] AND Erratum from Alert Notice 180|N/A|This newsletter informs about the spotting of 2 novas - one in Sagittarius, and another in Cassiopeiae. Observations and reports of the various sightings, their magnitude, and changes thereof are mentioned. A previous error in reporting the discoverer of N Cas 93 has been corrected.|N/A|V4332 Sgr; V705 Cas|1994-03-02|1994-03-03|Archived
182|Alert Notice 182: 1229+08 Supernova 1994D in NGC 4526 AND 1844-21 Nova Sagittarii 1994??? [V4332 Sgr]|N/A|The Central Bureau for Astronomical Telegrams reports the discovery of a supernova in NGC 4526 and of a potential nova in Sagittarius. The supernova is of Type Ia, likely about a week prior to maximum brightness. The potential nova, while initially reported as such, may instead be a long period variable. Detailed observations of both objects are requested.|N/A|NGC 4526; V4332 Sgr|1994-03-11|1994-03-12|Archived
184|Alert Notice 184: Brightening of YY Dra (= DO Dra) AND Requests for monitoring (SS Cyg, EX Hya, VW Hyi, AM Her)|Janet A. Mattei|We have been informed of the brightening of the dwarf nova YY Dra (also known as DO Dra), as observed by Tonny Vanmunster, Landen, Belgium, on May 13.932 UT at magnitude 14.1 and confirmed by Paul Van Cauteren, Aartselaar, Belgium, on May 13.993 at magnitude 14.2. Observers are urged to monitor this star, using the accompanying AAVSO preliminary chart, and to report your observations, together with the comparison stars used, to AAVSO Headquarters.|The success of these observing runs is directly affected by your monitoring the targets and alerting us - your observations are extremely important! Many thanks for your efforts and valuable astronomical contributions.|YY Dra; DO Dra; SS Cyg; EX Hya; VW Hyi; AM Her|1994-05-17|1994-05-18|Archived
185|Alert Notice 185: Nova Sgr 1994 Number 2 [V4362 Sgr]|Janet A. Mattei|We have been informed by Kenji Hirosawa and by the Central Bureau for Astronomical Telegrams of the photographic discovery of a nova by Yukio Sakurai, Mito, Ibaragi, Japan, on May 20.710 UT at magnitude 10.8. No image was visible down to 11.5 on a photo taken by Sakurai on May 16.733 UT.|N/A|V4362 Sgr|1994-05-24|1994-05-25|Archived
